prod_name,reg_price,sale_price,sale_percent,new_badge,size,color,Link
Town Team - T-SHIRT,LE 599.00,LE 149.00,75%,New,L,Blue,https://townteam.com//products/8076214200210710909?_pos=1&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT,LE 599.00,LE 149.00,75%,New,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 2
                            



                        + -3",Blue,https://townteam.com//products/8076214200210710909?_pos=1&_fid=65ca5736c&_ss=c
Cuba - T-SHIRT,LE 399.00,LE 199.00,50%,New,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 2
                            



                        + -3",Pink,https://townteam.com//products/8017288521430275360?_pos=2&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT - T-SHIRTS,LE 399.00,LE 149.00,63%,New,"M
                                



                                L
                                



                                3XL
                                



                                S
                                



                            + 4
                            



                        + -3",Red,https://townteam.com//products/8017288521430275360?_pos=2&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT - T-SHIRTS,LE 359.00,LE 149.00,58%,New,"4XL
                                



                                L
                                



                                3XL
                                



                                2XL
                                



                            + 4
                            



                        + -3",Green,https://townteam.com//products/7783760617790227681?_pos=3&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT - T-SHIRTS,LE 359.00,LE 199.00,45%,New,"XL
                                



                                2XL
                                



                                L
                                



                                S
                                



                            + 4
                            



                        + -3",Blue,https://townteam.com//products/7783760617790227681?_pos=3&_fid=65ca5736c&_ss=c
River Nine - T-SHIRT - T-SHIRTS,LE 399.00,LE 129.00,68%,New,"XL
                                



                                S
                                



                                3XL
                                



                                2XL
                                



                            + 2
                            



                        + -3",Blue,https://townteam.com//products/7634561941842799703?_pos=4&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT - T-SHIRTS,LE 399.00,LE 179.00,55%,New,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 4
                            



                        + -3",OLD.RED,https://townteam.com//products/7634561941842799703?_pos=4&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT - T-SHIRTS,LE 359.00,LE 149.00,58%,New,"S
                                



                                L
                                



                                XL
                                



                                2XL
                                



                        + -3",Black,https://townteam.com//products/7601952401921507632?_pos=5&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT,LE 699.00,LE 149.00,79%,New,"S
                                



                                M
                                



                                L
                                



                                2XL
                                



                            + 1
                            



                        + -3",WHITE,https://townteam.com//products/7601952401921507632?_pos=5&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 899.00,LE 359.00,60%,New,"M
                                



                                L
                                



                                2XL
                                



                                4XL
                                



                            + 3
                            



                        + -3",Orange,https://townteam.com//products/7524044790950875450?_pos=6&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 999.00,LE 349.00,65%,New,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 1
                            



                        + -3",Blue,https://townteam.com//products/7524044790950875450?_pos=6&_fid=65ca5736c&_ss=c
Town Team - Short Sleeves Shirts - SSH,"LE 1,099.00",LE 399.00,64%,New,"L
                                



                                M
                                



                                S
                                



                                XL
                                



                        + -3",Various,https://townteam.com//products/6747986435976882519?_pos=7&_fid=65ca5736c&_ss=c
Town Team - Long Sleeves Shirts - SHI,"LE 1,199.00",LE 449.00,63%,New,"2XL
                                



                                3XL
                                



                                4XL
                                



                                L
                                



                            + 1
                            



                        + -3",Blue,https://townteam.com//products/6747986435976882519?_pos=7&_fid=65ca5736c&_ss=c
Town Team - Long Sleeves Shirts - SHI,"LE 1,099.00",LE 399.00,64%,New,"S
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 2
                            



                        + -3",White,https://townteam.com//products/7531386248044938895?_pos=8&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 799.00,LE 199.00,75%,New,"M
                                



                                XL
                                



                                2XL",Black,https://townteam.com//products/7531386248044938895?_pos=8&_fid=65ca5736c&_ss=c
Town Team - T-shirts - TSH,LE 799.00,LE 169.00,79%,New,"L
                                



                                M
                                



                                S",Orange,https://townteam.com//products/7367759524284851320?_pos=9&_fid=65ca5736c&_ss=c
Town Team - T-SHIRT,LE 599.00,LE 149.00,75%,New,"S
                                



                                4XL",Yellow,https://townteam.com//products/7367759524284851320?_pos=9&_fid=65ca5736c&_ss=c
Town Team - APPAREL TOPS - T-SHIRTS,N/A,LE 129.00,78%,N/A,"5XL
                                



                                4XL
                                



                                L
                                



                                2XL
                                



                            + 1
                            



                        + -3",Mango,https://townteam.com//products/7760791123691672847?_pos=10&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,N/A,LE 359.00,60%,N/A,"S
                                



                                M",Black,https://townteam.com//products/7760791123691672847?_pos=10&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637727730?_pos=11&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637727730?_pos=11&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637508457?_pos=12&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637508457?_pos=12&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637703676?_pos=13&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637703676?_pos=13&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637688502?_pos=14&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637688502?_pos=14&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637508398?_pos=15&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637508398?_pos=15&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 399.00,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637674146?_pos=16&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 399.00,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637674146?_pos=16&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 399.00,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637687898?_pos=17&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 999.00,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637687898?_pos=17&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 399.00,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637637392?_pos=18&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 399.00,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637637392?_pos=18&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 899.00,LE 359.00,60%,New,"M
                                



                                XL",Black,https://townteam.com//products/5637681462?_pos=21&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 899.00,LE 319.00,65%,New,"S
                                



                                L
                                



                                XL
                                



                                4XL
                                



                        + -3",Orange,https://townteam.com//products/5637681462?_pos=21&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,"LE 1,099.00",LE 329.00,70%,New,"6XL
                                



                                L
                                



                                M
                                



                                XL
                                



                            + 2
                            



                        + -3",Beige,https://townteam.com//products/5637508705?_pos=22&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 999.00,LE 349.00,65%,New,"3XL
                                



                                L
                                



                                S
                                



                                4XL
                                



                        + -3",Blue,https://townteam.com//products/5637508705?_pos=22&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 999.00,LE 349.00,65%,New,"4XL
                                



                                S
                                



                                XL
                                



                                2XL
                                



                        + -3",Black,https://townteam.com//products/5637676824?_pos=23&_fid=65ca5736c&_ss=c
Town Team - Polo shirts - POS,LE 899.00,LE 349.00,61%,New,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                        + -3",Blue,https://townteam.com//products/5637676824?_pos=23&_fid=65ca5736c&_ss=c
Town Team - POLO SHIRT,"LE 1,099.00",LE 419.00,62%,New,"L
                                



                                3XL
                                



                                XL",Black,https://townteam.com//products/5637681068?_pos=24&_fid=65ca5736c&_ss=c
Town Team - POLO SHIRT,LE 999.00,LE 349.00,65%,New,"L
                                



                                M
                                



                                S
                                



                                XL
                                



                        + -3",Green,https://townteam.com//products/5637681068?_pos=24&_fid=65ca5736c&_ss=c
Town Team - POLO SHIRT,LE 999.00,LE 349.00,65%,New,"2XL
                                



                                3XL
                                



                                L
                                



                                S
                                



                            + 1
                            



                        + -3",Blue,https://townteam.com//products/5637680849?_pos=25&_fid=65ca5736c&_ss=c
Town Team - POLO SHIRT,LE 999.00,LE 349.00,65%,New,"S
                                



                                L
                                



                                XL
                                



                                4XL
                                



                        + -3",Blue,https://townteam.com//products/5637680849?_pos=25&_fid=65ca5736c&_ss=c
Town Team - Short Sleeves Shirts - SSH,"LE 1,099.00",LE 399.00,64%,New,"M
                                



                                S
                                



                                XL",Various,https://townteam.com//products/5637682427?_pos=26&_fid=65ca5736c&_ss=c
Town Team - Joggers - JOG,"LE 1,599.00",LE 639.00,60%,New,29,Green,https://townteam.com//products/5637682427?_pos=26&_fid=65ca5736c&_ss=c
Town Team - T-shirt Sets - TST,"LE 1,799.00",LE 469.00,74%,New,"M
                                



                                S
                                



                                2XL
                                



                                3XL
                                



                            + 2
                            



                        + -3",White,https://townteam.com//products/5637622778?_pos=27&_fid=65ca5736c&_ss=c
Town Team - T-shirt Sets - TST,"LE 1,799.00",LE 469.00,74%,New,"S
                                



                                L
                                



                                M
                                



                                3XL
                                



                            + 2
                            



                        + -3",White,https://townteam.com//products/5637622778?_pos=27&_fid=65ca5736c&_ss=c
Town Team - T-shirt Sets - TST,"LE 1,859.00",LE 549.00,70%,New,"S
                                



                                M",Red,https://townteam.com//products/5637618860?_pos=28&_fid=65ca5736c&_ss=c
Town Team - Sweatpants - SWP,"LE 1,299.00",LE 469.00,64%,New,L,Grey,https://townteam.com//products/5637618860?_pos=28&_fid=65ca5736c&_ss=c
Town Team - Sweatpants - SWP,N/A,LE 479.00,63%,N/A,"3XL
                                



                                S",Grey,https://townteam.com//products/5637618699?_pos=29&_fid=65ca5736c&_ss=c
Town Team - Sweatpants - SWP,N/A,LE 519.00,60%,N/A,"3XL
                                



                                4XL",Grey,https://townteam.com//products/5637618699?_pos=29&_fid=65ca5736c&_ss=c
Town Team - Joggers - JOG,N/A,LE 799.00,50%,N/A,34,Green,https://townteam.com//products/7909809781346755374?_pos=30&_fid=65ca5736c&_ss=c
Town Team - Sweatpants - SWP,N/A,LE 419.00,70%,N/A,"L
                                



                                4XL",Dark Grey,https://townteam.com//products/7909809781346755374?_pos=30&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637697343?_pos=31&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637697343?_pos=31&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637792825?_pos=32&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637792825?_pos=32&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"M
                                



                                L
                                



                                XL
                                



                                2XL
                                



                            + 1
                            



                        + -3",Wine,https://townteam.com//products/5637792075?_pos=33&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                XL
                                



                                2XL",Navy,https://townteam.com//products/5637792075?_pos=33&_fid=65ca5736c&_ss=c
Town Team - Autumn Shirts - FSH,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Navy,https://townteam.com//products/5637790462?_pos=34&_fid=65ca5736c&_ss=c
Town Team - Sweatshirts - SWS,N/A,LE 19.99,50%,N/A,"S
                                



                                M
                                



                                L
                                



                                XL
                                



                            + 6
                            



                        + -3",Charcoal,https://townteam.com//products/5637790462?_pos=34&_fid=65ca5736c&_ss=c
